file_path,gender,age
Dataset\Adience_Dataset\Crop_Faces_Rev_01\0.jpg,f,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\1.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\2.jpg,f,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\4.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\5.jpg,f,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\7.jpg,f,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\8.jpg,f,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\9.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\10.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\11.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\12.jpg,f,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\13.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\14.jpg,f,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\15.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\17.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\18.jpg,f,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\19.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\22.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\23.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\24.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\25.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\27.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\28.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\29.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\30.jpg,f,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\31.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\32.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\33.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\35.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\36.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\37.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\38.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\39.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\40.jpg,m,"(25, 32)"
Dataset\Adience_Dataset\Crop_Faces_Rev_01\41.jpg,f,"(25, 32)"
